"Title","WorkoutType","WorkoutDescription","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes","Rpe","Feeling"
"Prep Phase 2: Strength and Conditioning #2","Strength","Please check the link below for full exercise instructions, progressions, alternatives and videos: https://www.myprocoach.net/wp-content/uploads/SC-Triathlon.pdf Whole Body Strength: 1. Squat: 3 x 12 (Exercise 1) 2. Alternate Lunge: 3 x 8 (Exercise 5) 3. Bulgarian Squat : 3 x 8 (Exercise 4) 4. Lat & Front Raise Combo: 3 x 8 (Exercise 11) 5. Dumbbell Pullover: 3 x 12 (Exercise 15) 6. Tricep Dip: 3 x 10 (Exercise 17) 7. Glute Bridge: 3 x 12 (Exercise 18) 8. Lying Hip Abduction: 3 x 10 (Exercise 20) 9. Spider Climber: 3 x 7 (Exercise 25) Flexibility: 5-10 minutes Notes: 1. 2 x 12 = 2 sets of 12 repetitions with a rest between sets. 2. Rests are 20-40 secs. 3. When an exercise alternates right and left, the right PLUS left movement is 1 rep. 4. For unilateral exercises, perform reps on the right, then repeat on the left. Then move to next set. 5. Breathe out on exertion and maintain form throughout. 6. For flexibility see the link below or choose stretches that work well for you.","0.666666666666667","","2020-10-02","Prep Phase: The goal of the Preparation phase is to develop neuromuscular efficiency, stability and functional strength. Resistance during the Prep Phase: Fairly light weights to enable you to adopt and maintain correct form throughout. If your muscles burn at the end of a set then you are lifting too heavy for this phase. Perform strength and conditioning once or twice each week. Avoid the ‘no pain, no gain’ thinking. Strength will compliment your training making you more powerful, less prone to injury and help you focus on range of movement required for all three disciplines. It should not inhibit your subsequent workouts.","0","","","","","0.701321125030518","0","","","","85","124","","","0.549210025656616","23.22","5","0","0","0","0","","","","","","","","","","","","","","","","",""
"VIDEO: The Importance of Ramp Rate and Recovery","Custom","Importance of Ramp Rate and Recovery: https://bit.ly/RampRateAndRecovery","","","2020-10-03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Aerobic Endurance Ride","Bike","Ride mainly in Z2 today. You should be able to maintain conversation at this intensity.","1.75","","2020-10-03","","56627.26171875","195","308","1232.014","","1.75278973579407","8.97399997711182","","78","","130","148","","","0.700871536583097","85.6","104","1","0","0","0","","","","","","1","94","10","0","0","0","0","","","","",""
"Aerobic Endurance Run","Run","A nice steady run, mainly in Z1-Z2.","1","","2020-10-04","","13434.1201171875","306","376","1141.09"," *04/10/2020 bruvio . : pioggia e vento*","1.0350661277771","3.60500001907349","","89","","150","164","","","0.878257354223499","79.11","1","23","19","18","0","","","","","","3","43","16","1","0","","","","","","",""
"VIDEO: What If You Miss Workouts?","Custom","What If You Miss Workouts? https://bit.ly/MissingWorkouts","","","2020-10-04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Prep Phase 2 Week 2","Other","","","","2020-10-05","If you haven’t already, read our ""Getting Started Guide"" below. https://support.myprocoach.net/hc/en-us/articles/360004621731 Included with your training plan you have access to our Support Centre below. https://myprocoach-help.zendesk.com/hc/en-us We use a system of 5 Training Zones, which you can learn about here: http://www.myprocoach.net/uploads/1/3/3/8/13384839/training_intensity_zones.pdf For the duration of your plan, you can email our coaching team, click below to find out more: https://support.myprocoach.net/hc/en-us/articles/360000529751","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Speed Workout Run","Run","Warm Up: 12 mins easy in Z2, 5 x (30 secs in Z4 + 30 sec recoveries in Z1-2). Main Set: 2 x (2 mins in Z4 + 4 mins in Z2), 1 min in Z5. Warm Down: 10 mins in Z2.","0.666666666666667","","2020-10-05","","8786.5302734375","307","404","741.736","","0.671729207038879","3.63299989700317","","88","","150","174","","","0.895121961003418","53.23","3","13","9","12","4","","","","","","3","20","11","5","0","","","","","","",""
"Pool Swim: Endurance/Technique","Swim","Warm Up: 1 x (100 FS in Z2 Breathe every 3 + 5 secs rest), 1 x (200 Pull in Z2 Breathe every 5 + 5 secs rest), 1 x (100 FS in Z2 Breathe every 3 + 5 secs rest). Main Set: 4 x (100 Drill in Z2 + 100 FS in Z3 + 10 sec rests). Warm Down: 2 x (50 Back in Z2 + 50 Breast in Z2 + 5 sec rests), 2 x (50 Pull in Z2 + 50 Drill in Z2 + 5 sec rests), 1 x (200 FS in Z2).","0.535833333333333","2400","2020-10-05","","2250","","","","","0.624031391143799","0.997782705099778","","29","","140","172","","","0.891381439931153","44.2","13","14","7","3","0","","","","","","","","","","","","","","","","",""
"Speed Workout Bike - 10x1min Z4","Bike","Warm Up: 10 mins easy in Z2, 5 x (10 secs in Z4 + 50 secs in Z2). Main Set: 10 x (1 min in Z4 + 90 sec recoveries in Z2). Warm Down: 5 mins in Z2.","0.75","","2020-10-06","","28167.08984375","197","466","521.199","","0.733406662940979","10.6680002212524","","83","","135","155","","","0.752545536377897","41.13","23","13","8","0","0","","","","","","7","24","3","7","2","0","0","","","","",""
"Prep Phase 2: Strength and Conditioning #1","Strength","Please check the link below for full exercise instructions, progressions, alternatives and videos: https://www.myprocoach.net/wp-content/uploads/SC-Triathlon.pdf Whole Body Strength: 1. Squat: 3 x 12 (Exercise 1) 2. Reverse Lunge: 3 x 6 (Exercise 6) 3. Single Leg Squat: 3 x 6 (Exercise 3) 4. Bent Over Row: 3 x 12 (Exercise 12) 5. Bench Press: 3 x 12 (Exercise 14) 6. Tricep Kickback: 3 x 10 (Exercise 16) 7. Bird Dog: 3 x 7 (Exercise 19) 8. Side Plank: 2 reps (Exercise 23) 9. Bicycle Crunch: 3 x 8 (Exercise 26) Flexibility: 5-10 minutes Notes: 1. 2 x 12 = 2 sets of 12 repetitions with a rest between sets. 2. Rests are 20-40 secs. 3. When an exercise alternates right and left, the right PLUS left movement is 1 rep. 4. For unilateral exercises, perform reps on the right, then repeat on the left. Then move to next set. 5. Breathe out on exertion and maintain form throughout. 6. For flexibility see the link below or choose stretches that work well for you.","0.666666666666667","","2020-10-06","Prep Phase: The goal of the Preparation phase is to develop neuromuscular efficiency, stability and functional strength. Resistance during the Prep Phase: Fairly light weights to enable you to adopt and maintain correct form throughout. If your muscles burn at the end of a set then you are lifting too heavy for this phase. Perform strength and conditioning once or twice each week. Avoid the ‘no pain, no gain’ thinking. Strength will compliment your training making you more powerful, less prone to injury and help you focus on range of movement required for all three disciplines. It should not inhibit your subsequent workouts.","0","","","","","0.797679722309113","0","","","","99","139","","","0.579142617541021","29.48","16","0","0","0","0","","","","","","","","","","","","","","","","",""
"Easy Run 30 min","Run","Easy/steady run in Z2.","0.5","","2020-10-07","","6367.2001953125","302","336","538.298","","0.495359420776367","3.5699999332428","","88","","145","152","","","0.865509732308225","36.51","1","23","5","0","0","","","","","","0","27","3","0","0","","","","","","",""
"4x10min Z2-Aerobic Endurance Bike","Bike","Warm Up: 10 mins in Z2, 5 x (20 secs in Z3 + 40 secs in low Z2). Main Set: 4 x (10 mins in upper Z2 + 60 sec recoveries in low Z2). Warm Down: 5 mins in low Z2.","1.06666666666667","","2020-10-08","","31374.1796875","209","402","803.296","","1.06987023353577","8.14599990844727","","80","","128","143","","","0.759964772435717","61.39","47","13","0","0","0","","","","","","2","28","30","1","1","0","0","","","","",""
"Prep Phase 2: Strength and Conditioning #2","Strength","Please check the link below for full exercise instructions, progressions, alternatives and videos: https://www.myprocoach.net/wp-content/uploads/SC-Triathlon.pdf Whole Body Strength: 1. Squat: 3 x 12 (Exercise 1) 2. Alternate Lunge: 3 x 8 (Exercise 5) 3. Bulgarian Squat : 3 x 8 (Exercise 4) 4. Lat & Front Raise Combo: 3 x 8 (Exercise 11) 5. Dumbbell Pullover: 3 x 12 (Exercise 15) 6. Tricep Dip: 3 x 10 (Exercise 17) 7. Glute Bridge: 3 x 12 (Exercise 18) 8. Lying Hip Abduction: 3 x 10 (Exercise 20) 9. Spider Climber: 3 x 7 (Exercise 25) Flexibility: 5-10 minutes Notes: 1. 2 x 12 = 2 sets of 12 repetitions with a rest between sets. 2. Rests are 20-40 secs. 3. When an exercise alternates right and left, the right PLUS left movement is 1 rep. 4. For unilateral exercises, perform reps on the right, then repeat on the left. Then move to next set. 5. Breathe out on exertion and maintain form throughout. 6. For flexibility see the link below or choose stretches that work well for you.","0.666666666666667","","2020-10-08","Prep Phase: The goal of the Preparation phase is to develop neuromuscular efficiency, stability and functional strength. Resistance during the Prep Phase: Fairly light weights to enable you to adopt and maintain correct form throughout. If your muscles burn at the end of a set then you are lifting too heavy for this phase. Perform strength and conditioning once or twice each week. Avoid the ‘no pain, no gain’ thinking. Strength will compliment your training making you more powerful, less prone to injury and help you focus on range of movement required for all three disciplines. It should not inhibit your subsequent workouts.","0","","","","","0.432144701480865","0","","","","89","134","","","0.559069932750662","14.66","4","0","0","0","0","","","","","","","","","","","","","","","","",""
"VIDEO: Should You Swim in Pool or Open Water?","Custom","Pool or Open Water? https://bit.ly/PoolOrOW","","","2020-10-09","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1 - E-SP CSS Mix | BB Intervals 2","Swim","4x 200m at CSS pace + 3 sec /50 3x 200m at CSS pace + 2 sec /50 2x 200m at CSS pace + 4 sec /50 1x 100m at CSS pace + 3 sec /50 Recovery is the time you save, pacing is up to you. If you swim at CSS pace then for set one you may have 12s rest, quicker, your rest will be longer, slower your rest will be shorter. Go on the next beep Optional 1 beep rest in between the 4 sets","0.666666666666667","2400","2020-10-09","You'll need to adjust your tempo in MODE 2, set it for the time per 50 METRES, Get through this with focus.","2625","","","","","0.734480281935798","0.989073097211756","","30","","135","154","","","0.943127202145754","61.62","27","14","3","0","0","","","","","","","","","","","","","","","","",""
"2h Z2 12x10min Z2 - Aerobic Endurance Ride","Bike","Ride mainly in Z2 today. Don't stress if you're not in Z2 100% of the time - just try and do most of these workouts at around Z2 intensity.","2","","2020-10-10","","65724.65625","205","374","1492.201","","2.02251195907593","9.02700042724609","","79","","132","152","","","0.748075535067028","112.48","105","11","6","0","0","","","","","","1","94","15","8","2","0","0","","","","",""
"VIDEO: Balancing Life and Training","Custom","Check out this video: https://bit.ly/Balance-Life-and-Training","","","2020-10-10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Aerobic Endurance - 4x10min FL","Run","Easy or steady run all in low to mid Z2.","1","","2020-10-11","","13534.9296875","321","393","1157.724","","1.00035583972931","3.75799989700317","","89","","156","174","","","0.92733924677749","85.49","1","7","13","30","9","","","","","","2","21","28","10","0","","","","","","",""
"VIDEO: Duration Rather Than Distance","Custom","Why I Use Duration Rather Than Distance: https://bit.ly/DurationvDistance","","","2020-10-11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Prep Phase 2 Week 3","Other","","","","2020-10-12","If you haven’t already, read our ""Getting Started Guide"" below. https://support.myprocoach.net/hc/en-us/articles/360004621731 Included with your training plan you have access to our Support Centre below. https://myprocoach-help.zendesk.com/hc/en-us We use a system of 5 Training Zones, which you can learn about here: http://www.myprocoach.net/uploads/1/3/3/8/13384839/training_intensity_zones.pdf For the duration of your plan, you can email our coaching team, click below to find out more: https://support.myprocoach.net/hc/en-us/articles/360000529751","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Speed Workout Run 5x1min Z5","Run","Warm Up: 10 mins easy in Z2, 5 x (20 secs in Z5 + 40 sec recoveries in Z1). Main Set: 5 x (1 min in Z4-5 + 2 min recoveries in Z1-2). Warm Down: 10 mins easy, slow jog in Z2.","0.666666666666667","","2020-10-12","","8658.6904296875","290","439","747.759","","0.7166708111763","3.35599994659424","","87","","147","175","","","0.871800932054296","53.73","9","14","11","3","5","","","","","","13","12","4","4","4","","","","","","",""
"2X CSS | Sprint Escalator P1","Swim","Any 200m warm up using drills and pull buoy You may alternate pull buoy inter set or intra set, your choice Your sprint interval gets you the time you saved PLUS your rest. No rest in between the blocks 12 x 50 freestyle on 4 secs rest (sprint every 4th 50) 9 x 50 freestyle on 6 seconds rest (sprint every 3rd 50) 6 x 50 freestyle on 8 seconds rest (sprint every 2nd) 50 4 x 50 freestyle on 10 seconds rest (sprint every one) Cool down 50 any stroke","0.5","1850","2020-10-12","","1900","","","","","0.504901112980313","1.03542234332425","","29","","109","152","","","0.993043738662622","49.44","10","2","1","0","0","","","","","","","","","","","","","","","","",""
"3 x (3 mins in upper Z4 Speed Workout Bike","Bike","Warm Up: 10 mins easy in Z2, 5 x (10 secs in Z4-5 + 50 secs easy in Z2). Main Set: 3 x (3 mins in upper Z4 + 3 min recoveries in low Z2). Warm Down: 10 mins in Z2.","0.716666666666667","","2020-10-13","","23320.060546875","199","475","514.288","","0.717748641967773","9.02499961853027","","79","","132","160","","","0.773535486080701","42.55","33","2","4","4","0","","","","","","3","30","1","5","4","0","0","","","","6","1"
"Prep Phase 2: Strength and Conditioning #1","Strength","Please check the link below for full exercise instructions, progressions, alternatives and videos: https://www.myprocoach.net/wp-content/uploads/SC-Triathlon.pdf Whole Body Strength: 1. Squat: 3 x 12 (Exercise 1) 2. Reverse Lunge: 3 x 6 (Exercise 6) 3. Single Leg Squat: 3 x 6 (Exercise 3) 4. Bent Over Row: 3 x 12 (Exercise 12) 5. Bench Press: 3 x 12 (Exercise 14) 6. Tricep Kickback: 3 x 10 (Exercise 16) 7. Bird Dog: 3 x 7 (Exercise 19) 8. Side Plank: 2 reps (Exercise 23) 9. Bicycle Crunch: 3 x 8 (Exercise 26) Flexibility: 5-10 minutes Notes: 1. 2 x 12 = 2 sets of 12 repetitions with a rest between sets. 2. Rests are 20-40 secs. 3. When an exercise alternates right and left, the right PLUS left movement is 1 rep. 4. For unilateral exercises, perform reps on the right, then repeat on the left. Then move to next set. 5. Breathe out on exertion and maintain form throughout. 6. For flexibility see the link below or choose stretches that work well for you.","0.666666666666667","","2020-10-13","Prep Phase: The goal of the Preparation phase is to develop neuromuscular efficiency, stability and functional strength. Resistance during the Prep Phase: Fairly light weights to enable you to adopt and maintain correct form throughout. If your muscles burn at the end of a set then you are lifting too heavy for this phase. Perform strength and conditioning once or twice each week. Avoid the ‘no pain, no gain’ thinking. Strength will compliment your training making you more powerful, less prone to injury and help you focus on range of movement required for all three disciplines. It should not inhibit your subsequent workouts.","0","","","","","0.621889710426331","0","","","","84","128","","","0.552390160775687","20.78","4","0","0","0","0","","","","","","","","","","","","","","","","",""
"Easy Run 35min","Run","Easy/steady run in Z2.","0.583333333333333","","2020-10-14","","7398.2001953125","301","354","633.774","","0.583949744701386","3.51900005340576","","89","","145","156","","","0.86280348739679","42.87","1","24","10","0","0","","","","","","1","30","5","0","0","","","","","","",""
"3E-SP CSS | Tortoise Hare Pyramid Repeats","Swim","Warm up any 200-400 easy swim and or drills as per attachment SET YOUR FINIS to BEEP on 50s, 25 will drive you mad Then All @CSS+5secs per 50 MODE 2 1 x 400 (stay with the beep, take 20s rest and resync beeper by pressing top button A when ready to go again) 4 x 100 (beat the beep and start next 100 when you hear the beep) All @CSS+4 per 50 MODE 2 1 x 300 (stay with the beep, take 20s rest and resync beeper by pressing top button A when ready to go again) 3 x 100 (beat the beep and start next 100 when you hear the beep) All @CSS+3 per 50 MODE 2 1 x 200 (stay with the beep, take 20s rest and resync beeper by pressing top button A when ready to go again) 2 x 100 (beat the beep and start next 100 when you hear the beep) All @CSS+2 per 50 MODE 2 1 x 100 (stay with the beep, take 20s rest and resync beeper by pressing top button A when ready to go again) 1 x 100 (beat the beep) Any 100 cool down","0.666666666666667","2400","2020-10-14","if you run out of time then go as far down the set as you can, or start one rung down, say the 300s","2500","","","","","0.687777781486511","1.0048231511254","","30","","123","170","","","0.959208395473823","60.7","15","5","2","2","1","","","","","","","","","","","","","","","","",""
"15/12/10min Z2 Aerobic Endurance Bike","Bike","Warm Up: 10 mins in Z2, 5 x (30 secs in upper Z2 + 30 secs in low Z2). Main Set: 15 mins in upper Z2 + 90 secs recovery in low Z2, 12 mins in upper Z2 + 90 secs recovery in low Z2, 10 mins in top end Z2. Warm Down: 5 mins in low Z2.","1","","2020-10-15","","30966.779296875","206","462","743.31","","1.00055110454559","8.59700012207031","","75","","128","149","","","0.757297926931622","56.91","57","2","0","0","0","","","","","","2","32","24","1","1","1","0","","","","",""
"Prep Phase 2: Strength and Conditioning #2","Strength","Please check the link below for full exercise instructions, progressions, alternatives and videos: https://www.myprocoach.net/wp-content/uploads/SC-Triathlon.pdf Whole Body Strength: 1. Squat: 3 x 12 (Exercise 1) 2. Alternate Lunge: 3 x 8 (Exercise 5) 3. Bulgarian Squat : 3 x 8 (Exercise 4) 4. Lat & Front Raise Combo: 3 x 8 (Exercise 11) 5. Dumbbell Pullover: 3 x 12 (Exercise 15) 6. Tricep Dip: 3 x 10 (Exercise 17) 7. Glute Bridge: 3 x 12 (Exercise 18) 8. Lying Hip Abduction: 3 x 10 (Exercise 20) 9. Spider Climber: 3 x 7 (Exercise 25) Flexibility: 5-10 minutes Notes: 1. 2 x 12 = 2 sets of 12 repetitions with a rest between sets. 2. Rests are 20-40 secs. 3. When an exercise alternates right and left, the right PLUS left movement is 1 rep. 4. For unilateral exercises, perform reps on the right, then repeat on the left. Then move to next set. 5. Breathe out on exertion and maintain form throughout. 6. For flexibility see the link below or choose stretches that work well for you.","0.666666666666667","","2020-10-15","Prep Phase: The goal of the Preparation phase is to develop neuromuscular efficiency, stability and functional strength. Resistance during the Prep Phase: Fairly light weights to enable you to adopt and maintain correct form throughout. If your muscles burn at the end of a set then you are lifting too heavy for this phase. Perform strength and conditioning once or twice each week. Avoid the ‘no pain, no gain’ thinking. Strength will compliment your training making you more powerful, less prone to injury and help you focus on range of movement required for all three disciplines. It should not inhibit your subsequent workouts.","0","","","","","0.460275530815125","0","","","","82","114","","","0.54985889000576","15.12","1","0","0","0","0","","","","","","","","","","","","","","","","",""
"VIDEO: Swim Solo or in a Group?","Custom","Solo or Group swims? https://bit.ly/SwimSoloorGroup","","","2020-10-16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Rest Day","Day Off","","","","2020-10-16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5E-SP CSS | Escalator","Swim","Straight into this, race simulation 4x 200m at CSS pace + 6 sec /50 Set 3x 200m at CSS pace + 5 sec /50 Set 2x 200m at CSS pace + 4 sec /50 Set 2x 100m at CSS pace + 3 sec /50 2 mins between sets, the time you save over an INTERVAL is your rest time before starting the next interval This is a real mental challenge. Do NOT give up in the middle. Set your tempo trainer or be disciplined on the clock. You get through this you get through anything! Don't worry about the time given for duration, do this once a week","0.75","2400","2020-10-16","Use your timer with a beep set for every 50, not 25 otherwise you'll go mad with the beeps and lose count, so whatever your CSS is for 50 [twice your 25] add the seconds as per instruction. Whatever time you save by beating the beep at the end of your interval is your rest time.","2425","","","","","0.658262503412035","1.02105263157895","","30","","129","161","","","0.972151006989677","60.48","20","8","4","1","0","","","","","","","","","","","","","","","","",""
"2h Z2 12x10min Z2 - Aerobic Endurance Ride","Bike","Ride mainly in Z2 today. Don't stress if you're not in Z2 100% of the time - just try and do most of these workouts at around Z2 intensity.","2","","2020-10-17","","60830.55078125","204","385","1479.981","","2.01689076423645","8.37800025939941","","73","","129","152","","","0.745574386981796","111.81","108","10","3","0","0","","","","","","2","97","11","7","3","0","0","","","","",""
"VIDEO: Training Zones Ranges","Custom","Why do Training Zones have a Range? https://bit.ly/TrainingZonesRange","","","2020-10-17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Aerobic Endurance ' 4x10min FL","Run","Easy or steady run all in low to mid Z2.","1","","2020-10-18","","13252.400390625","310","430","1136.914","","1.01703107357025","3.61999988555908","","89","","152","171","","","0.904499943317178","82.65","4","9","22","21","6","","","","","","5","26","20","8","0","","","","","","",""
"VIDEO: How Much Tiredness is Normal?","Custom","How Much Tiredness is Normal? https://bit.ly/HowMuchTiredness","","","2020-10-18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Prep Phase 2 Week 4. Active Recovery.","Other","Let your body recover and adapt fully this week. Don't be tempted to do more training than I've set. It is during this next week that your body adapts to the previous three weeks and your fitness improves.","","","2020-10-19","If you haven’t already, read our ""Getting Started Guide"" below. https://support.myprocoach.net/hc/en-us/articles/360004621731 Included with your training plan you have access to our Support Centre below. https://myprocoach-help.zendesk.com/hc/en-us We use a system of 5 Training Zones, which you can learn about here: http://www.myprocoach.net/uploads/1/3/3/8/13384839/training_intensity_zones.pdf For the duration of your plan, you can email our coaching team, click below to find out more: https://support.myprocoach.net/hc/en-us/articles/360000529751","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VIDEO: Recovery Week and Fitness Tests","Custom","How to approach your training this week: https://bit.ly/FirstRepeatFitnessTests","","","2020-10-19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5E-SP CSS | Escalator","Swim","Straight into this, race simulation 4x 200m at CSS pace + 6 sec /50 Set (@1:37 +24s rec) 3x 200m at CSS pace + 5 sec /50 Set (@1:37 +20s rec) 2x 200m at CSS pace + 4 sec /50 Set (@1:37 +16s rec) 2x 100m at CSS pace - 5 sec (20sec rec) 2 mins between sets, the time you save over an INTERVAL is your rest time before starting the next interval This is a real mental challenge. Do NOT give up in the middle. Set your tempo trainer or be disciplined on the clock. You get through this you get through anything! Don't worry about the time given for duration, do this once a week","0.666666666666667","2500","2020-10-19","Use your timer with a beep set for every 50, not 25 otherwise you'll go mad with the beeps and lose count, so whatever your CSS is for 50 [twice your 25] add the seconds as per instruction. Whatever time you save by beating the beep at the end of your interval is your rest time.","2400","","","","","0.643311113781399","1.03314679294016","","30","","141","168","","","0.984489961024587","61.38","12","17","6","2","1","","","","","","","","","","","","","","","","",""
"VIDEO: Recovery and the 48 Hour Rule","Custom","Recovery and the 48 Hour Rule: https://bit.ly/Recovery48","","","2020-10-20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Rest Day","Day Off","","","","2020-10-20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Test 8'","Bike","LA SCALA RPE MISURA LA PERCEZIONE DELLO SFORZO. IL VALORE MINIMO 1=NESSUNO SFORZO, IL MASSIMO 10=MASSIMO SFORZO Il test consiste in due prove massimali, ovvero al meglio delle proprie possibilità, una da eseguire in piano ed una in salita. Il consiglio è di ""gestire"" i primi due minuti in modo da non trovarsi nell'impossibilità di terminare il test a causa di un ritmo troppo intenso impostato all'inizio. Meglio andare in progressione nei primi due minuti fino ad arrivare ad un'intensità che si può mantenere per tutta la prova. Si devono registrare i watt medi e massimi nelle due prove da 8 minuti (se possiedi powermeter) e la frequenza cardiaca massima e media. L'alimentazione prima del test deve essere a base di carboidrati (circa 60-80g) da consumarsi approssimativamente 3h prima della prova (60grammi) e un'ora prima della prova (20grammi). Nelle tre ore precedenti la prova si possono utilizzare carboidrati complessi (pasta, pane, patate) e semplici (marmellata, succhi di frutta, integratori a base di malto destrine, miele...). Nell'ora prima della prova esclusivamente carboidrati semplici.","1.18333333333333","","2020-10-21","INDICAZIONI NUTRIZIONALI https://drive.google.com/open?id=1BQ2O7Sn_zXXGItH3OuB16vuzDNWyBEKr ------------------------------------------- DA ESEGUIRE DOPO ALLENAMENTO Flessibilmente versione completa http://vimeo.com/109963333 Flessibilmente versione ridotta http://vimeo.com/109942721","28707.919921875","206","417","724.433","","0.978834450244904","8.14700031280518","","71","","132","173","","","0.825351216794303","66.11","44","4","2","5","4","","","","","","8","34","2","5","6","2","0","","","","",""
"Prep Phase 2: Strength and Conditioning #1","Strength","Please check the link below for full exercise instructions, progressions, alternatives and videos: https://www.myprocoach.net/wp-content/uploads/SC-Triathlon.pdf Whole Body Strength: 1. Squat: 3 x 12 (Exercise 1) 2. Reverse Lunge: 3 x 6 (Exercise 6) 3. Single Leg Squat: 3 x 6 (Exercise 3) 4. Bent Over Row: 3 x 12 (Exercise 12) 5. Bench Press: 3 x 12 (Exercise 14) 6. Tricep Kickback: 3 x 10 (Exercise 16) 7. Bird Dog: 3 x 7 (Exercise 19) 8. Side Plank: 2 reps (Exercise 23) 9. Bicycle Crunch: 3 x 8 (Exercise 26) Flexibility: 5-10 minutes Notes: 1. 2 x 12 = 2 sets of 12 repetitions with a rest between sets. 2. Rests are 20-40 secs. 3. When an exercise alternates right and left, the right PLUS left movement is 1 rep. 4. For unilateral exercises, perform reps on the right, then repeat on the left. Then move to next set. 5. Breathe out on exertion and maintain form throughout. 6. For flexibility see the link below or choose stretches that work well for you.","0.666666666666667","","2020-10-21","Prep Phase: The goal of the Preparation phase is to develop neuromuscular efficiency, stability and functional strength. Resistance during the Prep Phase: Fairly light weights to enable you to adopt and maintain correct form throughout. If your muscles burn at the end of a set then you are lifting too heavy for this phase. Perform strength and conditioning once or twice each week. Avoid the ‘no pain, no gain’ thinking. Strength will compliment your training making you more powerful, less prone to injury and help you focus on range of movement required for all three disciplines. It should not inhibit your subsequent workouts.","0","","","","","0.571425318717957","0","","","","79","130","","","0.542032712680667","18.34","2","0","0","0","0","","","","","","","","","","","","","","","","",""
"Fitness Test: Critical Swim Speed (CSS)","Swim","This test helps you to measure fitness and create accurate training zones. Warm up: 6 x (50 FS in Z2 + 20 sec rests), 4 x (25 FS in Z4 + 25 FS in Z2 + 20 sec rests). ----------- TEST*: 1 x 400 FS maximal effort time trial, RECORD TIME, 5 mins easy active recovery, 1 x 200 FS maximal effort time trial, RECORD TIME, 1 min rest ----------- Main Set: 1 x (100 FS in Z1 + 15 secs rest), 1 x (100 FS in Z2 + 15 secs rest), 1 x (100 FS in Z3 + 20 secs rest), 1 x (100 FS in Z4 + 60 secs rest), 4 x (50 FS Build Z1 to Z4) + 60 secs rest. Warm Down: 200 Choice in Z2. For all swims (whether in a Yard or Meter Pool) follow the distances in the Workout Description section. There is also yard/meter button you can toggle in the Workout Details section below.","0.509166666666667","2153","2020-10-22","CRITICAL SWIM SPEED (CSS) 1. Complete the test and note your 400 & 200 times. 2 Use our online calculator to find your CSS: https://www.myprocoach.net/calculators/critical-swim-speed/ 3. Enter your CSS and training zones in your TrainingPeaks settings: https://bit.ly/EnterSwimZones RATE OF PERCEIVED EXERTION (RPE) To swim to feel (RPE), complete the test and note your 400 & 200 times. Use these as a benchmark to track progress in future tests. NOTES At this time you are unable to export swim workouts to your training devices. We hope this will be available soon. Your CSS gives you a good idea of what you'd swim (per 100) in a 1500 time trial. Click this link for more details of the CSS Test: http://www.myprocoach.net/blog/a-brief-introduction-to-css-swim-training","1900","","","","","0.489855558077494","1.07102593010147","","30","","137","164","","","1.02354435020939","52.53","12","6","6","4","0","","","","","","","","","","","","","","","","",""
